"id";"titulo";"descricao";"diretor";"posterpath";"popularidade";"data_lancamento";"id_genero"
21;"Náufrago";"Filme chato";"Robert Zemeckis";"img/naufrago.jpg";100.0;"2000-06-10";28
22;"Saving Private Ryan";"Outro filme chato.";"Steven Spielberg";"img/ryan.jpg";50.0;"2001-01-15";28
23;"Infiltrado Na Klan";"Em 1978, Ron Stallworth, um policial negro do Colorado, conseguiu se infiltrar na Ku Klux Klan local. Ele se comunicava com os outros membros do grupo através de telefonemas e cartas, quando precisava estar fisicamente presente enviava um outro policial branco no seu lugar. Depois de meses de investigação, Ron se tornou o líder da seita, sendo responsável por sabotar uma série de linchamentos e outros crimes de ódio orquestrados pelos racistas.";"Spike Lee";"https://image.tmdb.org/t/p/w400/fJmpw7i2VD9h7BAS7nQkXPTAxz3.jpg";51.82;"2018-11-21";80
24;"Animais Fantásticos: Os Crimes de Grindelwald";"Newt Scamander (Eddie Redmayne) reencontra os queridos amigos Tina Goldstein (Katherine Waterston), Queenie Goldstein (Alison Sudol) e Jacob Kowalski (Dan Fogler). Ele é recrutado pelo seu antigo professor em Hogwarts, Alvo Dumbledore (Jude Law), para enfrentar o terrível bruxo das trevas Gellert Grindelwald (Johnny Depp), que escapou da custódia da MACUSA (Congresso Mágico dos EUA) e reúne seguidores, dividindo o mundo entre seres de magos sangue puro e seres não-mágicos.";"David Yates";"https://image.tmdb.org/t/p/w400/1a79miXa31fLUYmU8wEZeHlWvuw.jpg";25.8;"2018-11-14";18
25;"WiFi Ralph – Quebrando a Internet";"Ralph, o mais famoso vilão dos videogames, e Vanellope, sua companheira atrapalhada, iniciam mais uma arriscada aventura. Após a gloriosa vitória no Fliperama Litwak, a dupla viaja para a world wide web, no universo expansivo e desconhecido da internet. Dessa vez, a missão é achar uma peça reserva para salvar o videogame Corrida Doce, de Vanellope. Para isso, eles contam com a ajuda dos ""cidadãos da Internet"" e de Yess, a alma por trás do ""Buzzztube"", um famoso website que dita tendências.";"Rich Moore; Phil Johnston";"https://image.tmdb.org/t/p/w400/6jBuc4l7ixM8S5PCcSYvGKDmIX9.jpg";21.23;"2018-11-21";10751
26;"O Grinch";"O Grinch é um ser verde que não suporta o Natal e, todo ano, precisa atuar que os habitantes da cidade vizinha de Quemlândia comemorem a data. Decidido a acabar com a festa, ele resolve invadir os lares dos vizinhos e roubar tudo o que está relacionado ao Natal.";"Yarrow Cheney; Scott Mosier";"https://image.tmdb.org/t/p/w400/g0W0rMeENJ8qblHdiYa7GK9WgMQ.jpg";17.4;"2018-11-07";16
27;"Todas as Canções de Amor";"Chico (Bruno Gagliasso) e Ana (Marina Ruy Barbosa) se mudam para um novo apartamento em São Paulo. Enquando arrumam as coisas, ela acha um fita K7 e decide escutar. Trata-se de uma mixtape que Clarisse (Luiza Mariani) fez 20 anos antes para seu marido, Daniel (Julio Andrade). Os dois casais, apesar de distanciados pelo tempo, têm muito em comum.";"Joana Mariani";"https://image.tmdb.org/t/p/w400/qihRwggb2hpH3XbNqGOysAXRPh5.jpg";4.57;"2018-11-07";10749
28;"Yellow is the New Black";"";"";"https://image.tmdb.org/t/p/w400null";3.94;"2018-11-07";16
29;"Tudo Acaba Em Festa";"Vlad é um dos funcionários do setor de Recursos Humanos de sua empresa. Com o fim do ano se aproximando, ele se torna o responsável por organizar a ""festa da firma"", uma festa de fim de ano para levantar o moral do quadro de funcionários, abalado profundamente por causa de uma sequência de demissões. Determinado a provar seu valor para sua ex-namorada, ele aceita o desafio. Tudo começa bem, mas as coisas acabam saindo do controle de Vlad, que terá que fazer o possível e o impossível para resolver todos os problemas e fazer a festa dar certo.";"André Pellenz";"https://image.tmdb.org/t/p/w400/htfRY5UOZWPVW9IAsk1x6HQrgJ0.jpg";3.94;"2018-11-07";35
30;"Copo Vazio";"";"Dellani Lima";"https://image.tmdb.org/t/p/w400null";1.49;"2018-11-15";1
31;"O Segredo de Davi";"Por trás da aparência de um tímido estudante de cinema, Davi esconde um obscuro passado que está prestes de ser revelado. Figuras estranhas à sua rotina aparecem em sua vida, e despertam sentimentos que o transformam em um serial killer. Davi filma as mortes e fica famoso na internet. À medida que as mortes acontecem, o seu segredo perturbador é ameaçado e pode vir à tona.";"Diego Freitas";"https://image.tmdb.org/t/p/w400/lQfQ13NH6Fsl21lYmdY3iD1Poxh.jpg";1.44;"2018-11-21";80
32;"O Que Resta";"";"Fernanda Teixeira";"https://image.tmdb.org/t/p/w400null";1.39;"2018-11-16";1
33;"O Sofá";"";"Bruno Safadi";"https://image.tmdb.org/t/p/w400null";1.04;"2018-11-21";1
34;"Primeiros Amigos";"";"";"https://image.tmdb.org/t/p/w400/2WPEh241InkIh6JwOFzvBCCK3l4.jpg";1.0;"2018-11-22";1
35;"O Poderoso Chefão II";"Continuação da história de uma família mafiosa que luta para estabelecer sua supremacia na América depois da Segunda Guerra.";"Francis Ford Coppola";"img/chefao.jpg";50.0;"1976-07-14";18
36;"John Wick 3 - Parabellum";"Após assassinar o chefe da máfia Santino D'Antonio (Riccardo Scamarcio) no Hotel Continental, John Wick (Keanu Reeves) passa a ser perseguido pelos membros da Alta Cúpula sob a recompensa de U$14 milhões. Agora, ele precisa unir forças com antigos parceiros que o ajudaram no passado enquanto luta por sua sobrevivência.";"Chad Stahelski";"https://image.tmdb.org/t/p/w400/cBO4u9qR1A7kSU299Qr3Ru9lvZ3.jpg";563.58;"2019-05-15";80
37;"Catarina e os Outros";"Catarina e os Outros de André Badalo é uma curta-metragem portuguesa de ficção que literalmente lançou a carreira de uma excelente jovem actriz como é Victória Guerra. Catarina (Guerra) é uma jovem mulher cujos únicos encantos que nos são dados a conhecer se prendem directamente com a sua extrema beleza. Durante breves momentos do seu dia, Catarina é uma prisioneira auto-imposta do seu quarto onde, entre as quatro paredes, olha sem rumo para aquilo que a rodeia. Alheada de tudo e todos e sem qualquer sinal daquilo que a atormenta, Catarina apenas sai do seu quarto para vaguear sem rumo por uma cidade onde procura parceiros sexuais... todos e qualquer um que lhe proporcione breves momentos de sexo desprotegido. Até ao dia em que a verdade é finalmente exposta...";"André Badalo";"https://image.tmdb.org/t/p/w400/kZMCbp0o46Tsg43omSHNHJKNTx9.jpg";358.07;"2011-02-28";18
38;"Vingadores: Ultimato";"Após os eventos devastadores de Vingadores: Guerra Infinita, o universo está em ruínas devido aos esforços do Titã Louco, Thanos. Com a ajuda de aliados remanescentes, os Vingadores devem se reunir mais uma vez a fim de desfazer as ações de Thanos e restaurar a ordem no universo de uma vez por todas, não importando as consequências.";"Joe Russo; Anthony Russo";"https://image.tmdb.org/t/p/w400/q6725aR8Zs4IwGMXzZT8aC8lh41.jpg";333.35;"2019-04-24";12
39;"Pokémon: Detetive Pikachu";"A história começa quando o detective particular Harry Goodman desaparece misteriosamente, levando seu filho Tim, de 21 anos, a tentar descobrir o que aconteceu. Quem ajuda na investigação é o antigo parceiro Pokémon de Harry, o Detetive Pikachu: um adorável superdetetive divertido e brincalhão que é um enigma até para si mesmo. Após descobrirem que são capazes de se comunicar um com o outro, Tim e Pikachu unem forças em uma aventura para desvendar esse mistério. Reunindo pistas pelas ruas de Ryme City – uma gigantesca metrópole moderna onde seres humanos e Pokémons convivem lado a lado em um mundo hiper-realista – eles encontram pelo caminho um elenco diversificado de personagens Pokémon e revelam uma trama chocante que poderia arruinar essa coexistência pacífica e ameaçar todo o universo Pokémon.";"Rob Letterman";"https://image.tmdb.org/t/p/w400/lHwEhsUaB9D0gXO6M08H5tdb2Vx.jpg";219.77;"2019-05-08";9648
40;"A Hidden Life";"";"Terrence Malick";"https://image.tmdb.org/t/p/w400/gRgkGpaeoBY6IrHP9FbLrVwdb6F.jpg";153.65;"2019-05-18";18
41;"Capitã Marvel";"A história segue Carol Danvers e como ela se torna um dos heróis mais poderosos do universo quando a Terra é pega no meio de uma guerra galáctica entre duas raças alienígenas. Situado na década de 1990, Capitã Marvel é uma nova aventura de um período inédito na história do universo cinematográfico da Marvel.";"Ryan Fleck; Anna Boden";"https://image.tmdb.org/t/p/w400/73fdK6W2cYdkR3ATr5ZwzBX6NUK.jpg";151.57;"2019-03-06";28
42;"Shazam!";"Billy Batson (Asher Angel) tem apenas 14 anos de idade, mas recebeu de um antigo mago o dom de se transformar num super-herói adulto chamado Shazam (Zachary Levi). Ao gritar a palavra SHAZAM!, o adolescente se transforma nessa sua poderosa versão adulta para se divertir e testar suas habilidades. Contudo, ele precisa aprender a controlar seus poderes para enfrentar o malvado Dr. Thaddeus Sivana (Mark Strong).";"David F. Sandberg";"https://image.tmdb.org/t/p/w400/wuicV3wiHje0Np1tb2AetTJLB9I.jpg";144.65;"2019-04-03";28
43;"John Wick: De Volta ao Jogo";"John Wick (Keanu Reeves) já foi um dos assassinos mais temidos da cidade de Nova York, trabalhando em parceria com a máfia russa. Um dia, ele decide se aposentar, e neste período tem que lidar com a triste morte de sua esposa. Vítima de uma doença grave, ela já previa a sua própria morte, e deu de presente ao marido um cachorro para cuidar em seu período de luto. No entanto, poucos dias após o funeral, o cachorro é morto por ladrões que roubam o seu carro. John Wick parte em busca de vingança contra estes homens que ele já conhecia muito bem, e que roubaram o último símbolo da mulher que ele amava.";"Chad Stahelski";"https://image.tmdb.org/t/p/w400/rboZslo3eQWKBQ3QvlO6wGV0J3K.jpg";132.64;"2014-10-23";28
44;"Kamen Rider Heisei Generations Forever";"";"Kyouhei Yamaguchi";"https://image.tmdb.org/t/p/w400/6sOFQDlkY6El1B2P5gklzJfVdsT.jpg";119.63;"2018-12-21";28
45;"As Trapaceiras";"";"Chris Addison";"https://image.tmdb.org/t/p/w400/e6AuIno1eZoDMQhFGKGAte6Syd7.jpg";116.76;"2019-05-08";35
46;"Brightburn - Filho das Trevas";"Quando uma criança alienígena cai no terreno de um casal da parte rural dos Estados Unidos, eles decidem criar o menino como seu filho. Porém, ao começar a descobrir seus poderes, ao invés de se tornar um herói para a humanidade, ele passa a aterrorizar a pequena cidade onde vive, se tornando uma força obscura na Terra";"David Yarovesky";"https://image.tmdb.org/t/p/w400/4Eu0GvET9ZihUJL5L0E9lgDQYzJ.jpg";115.04;"2019-05-09";27
47;"Vingadores: Guerra Infinita";"Enquanto os Vingadores e seus aliados continuaram a proteger o mundo de ameaças grandes demais para qualquer herói, uma nova ameaça emergiu das sombras cósmicas: Thanos. Um déspota de infâmia intergalática, tem o objetivo de coletar todas as seis Joias do Infinito, artefatos de poder inimaginável, e usá-las para infligir sua vontade distorcida em toda a realidade. Tudo pelo que os Vingadores lutaram levou até este momento - o destino da Terra e da própria existência nunca foi tão incerto.";"Joe Russo; Anthony Russo";"https://image.tmdb.org/t/p/w400/rkHe0BfOo1f5N2q6rxgdYac7Zf6.jpg";109.82;"2018-04-25";12
48;"Como Treinar o Seu Dragão 3";"Decidido a fazer de Berk um verdadeiro libelo ao ideal da convivência pacífica entre homens e dragões, Soluço e seus amigos seguem atrás de caçadores, para não só libertar suas presas mas também impedir a matança desenfreada dos animais. O esforço do grupo desperta a atenção de Grimmel ao descobrir que entre eles está Banguela, um legítimo Fúria da Noite. O vilão então desenvolve um plano para capturá-lo a todo custo, usando como arma uma fêmea capturada, da mesma espécie.";"Dean DeBlois";"https://image.tmdb.org/t/p/w400/bCYRgsT0Kndh23a6kHazBdXWCn1.jpg";105.05;"2019-01-16";16
49;"Cemitério Maldito";"Dr. Louis Creed (Jason Clarke), que após se mudar com sua esposa Rachel (Amy Seimetz) e seus dois filhos, de Boston para o Maine, descobre um misterioso cemitério escondido nas florestas perto da nova casa da família. Quando uma tragédia os atinge, Louis se volta para seu vizinho incomum, Jud Crandall (John Lithgow), desencadeando uma perigosa reação em cadeia que libera um mal insondável com consequências terríveis.";"Dennis Widmyer; Kevin Kölsch";"https://image.tmdb.org/t/p/w400/F66gh3HxLLHIsaxvH1zJSgPAsf.jpg";103.55;"2019-05-08";53
50;"Vingança a Sangue-Frio";"Nels é um tranquilo homem de família que trabalha como motorista de um removedor de neve e vê seu mundo virado de cabeça para baixo quando seu filho é morto por um poderoso traficante de drogas. Impulsionado pelo desejo de vingança e sem nada para perder, ele faz tudo o que por preciso para destruir o cartel.";"Hans Petter Moland";"https://image.tmdb.org/t/p/w400/w0ybXGR1XSVHsF1bNGGO40vtkOW.jpg";102.18;"2019-02-06";28
51;"Vidro";"Após a conclusão de Fragmentado, Kevin Crumb, o homem com 23 personalidades diferentes, passa a ser perseguido por David Dunn. O jogo de gato e rato entre o homem inquebrável e a Fera é influenciado pela presença de Elijah Price, que manipula os encontros entre eles e mantém segredos sobre os dois.";"M. Night Shyamalan";"https://image.tmdb.org/t/p/w400/d8rvXqqZ3hzrWfFGS47jU7sCx69.jpg";100.23;"2019-01-16";53
52;"After";"Baseado no romance de Anna Todd, o filme retrata a jornada de Tessa Young (Josephine Langford), uma jovem de 18 anos com uma vida simples: ótimas notas na escola, muitos amigos e um namorado doce. Todos os próximos passos de sua vida já estão planejados, mas as coisas desandam quando ela conhece um homem rebelde e rude com segredos sombrios que mudam sua vida.";"Jenny Gage";"https://image.tmdb.org/t/p/w400/u3B2YKUjWABcxXZ6Nm9h10hLUbh.jpg";93.37;"2019-04-10";18
53;"Aladdin";"Um jovem humilde descobre uma lâmpada mágica, com um gênio que pode lhe conceder desejos. Agora o rapaz quer conquistar a moça por quem se apaixonou, mas o que ele não sabe é que a jovem é uma princesa que está prestes a se noivar. Agora, com a ajuda do Gênio (Will Smith), ele tenta se passar por um príncipe e para conquistar o amor da moça e a confiança de seu pai.";"Guy Ritchie";"https://image.tmdb.org/t/p/w400/cYlzLYlhUXS0kW9T3ttAQ6fvZuV.jpg";90.99;"2019-05-22";12
54;"Fate/Stay Night: Heaven's Feel II. Lost Butterfly";"A história centra-se na Guerra do Santo Graal e explora a relação entre Shirou Emiya e Sakura Matou, dois adolescentes que participaram neste conflito. A história continua imediatamente depois de Fate / stay night: Heaven's Feel I. Presage Flower, seguindo Shirou como ele continua a participar na Guerra do Santo Graal, mesmo depois de ser eliminado como um mestre.";"Tomonori Sudou";"https://image.tmdb.org/t/p/w400/4tS0iyKQBDFqVpVcH21MSJwXZdq.jpg";90.94;"2019-01-11";16
55;"Hellboy";"Ao chegar à Terra ainda criança, após ser invocado por um feiticeiro contratado pelo governo nazista, Hellboy (David Harbour) foi criado como um filho por Trevor Bruttenholm (Ian McShane), um professor que estava no local no momento em que emergiu do inferno. Já adulto, Hellboy se torna um aliado dos humanos na batalha contra monstros de todo tipo. Quando a poderosa feiticeira Nimue (Milla Jovovich), também conhecida com a Rainha Sangrenta, insinua seu retorno, ele logo é convocado para enfrentá-la.";"Neil Marshall";"https://image.tmdb.org/t/p/w400/bk8LyaMqUtaQ9hUShuvFznQYQKR.jpg";90.43;"2019-05-15";28
56;"John Wick 3";"O lendário John Wick luta para sair de Nova York quando um contrato de 14 milhões de dólares faz dele o alvo dos maiores assassinos do mundo.";"Chad Stahelski";"https://cdn.images.express.co.uk/img/dynamic/36/590x/secondary/john-wick-3-poster-1872224.jpg?r=1558001058589";100.0;"2019-05-16";28
57;"O Náufrago";"Chuck Noland (Tom Hanks) um inspetor da Federal Express (FedEx), multinacional encarregada de enviar cargas e correspondências, que tem por função checar vários escritórios da empresa pelo planeta. Porém, em uma de suas costumeiras viagens ocorre um acidente, que o deixa preso em uma ilha completamente deserta por 4 anos. Com sua noiva (Helen Hunt) e seus amigos imaginando que ele morrera no acidente, Chuck precisa lutar para sobreviver, tanto fisicamente quanto emocionalmente, a fim de que um dia consiga retornar civilização.";"Robert Zemeckis";"img/naufrago.jpg";100.25;"2001-01-26";12
58;"O Náufrago";"Chuck Noland (Tom Hanks) um inspetor da Federal Express (FedEx), multinacional encarregada de enviar cargas e correspondências, que tem por função checar vários escritórios da empresa pelo planeta. Porém, em uma de suas costumeiras viagens ocorre um acidente, que o deixa preso em uma ilha completamente deserta por 4 anos. Com sua noiva (Helen Hunt) e seus amigos imaginando que ele morrera no acidente, Chuck precisa lutar para sobreviver, tanto fisicamente quanto emocionalmente, a fim de que um dia consiga retornar civilização.";"Robert Zemeckis";"img/naufrago.jpg";100.25;"2001-01-26";12
